iter	RMSE
0	0.6783531233
1	0.6458259057
2	0.6092669933
3	0.5795273626
4	0.5469918212
5	0.5203784647
6	0.49513969
7	0.4678786776
8	0.4456316836
9	0.4206643612
10	0.398279514
11	0.3788137246
12	0.3581409719
13	0.3378909284
14	0.3213602825
15	0.3085369915
16	0.2952755372
17	0.2811822757
18	0.2686324736
19	0.2583824677
20	0.2468543369
21	0.238055196
22	0.2271873426
23	0.2189480688
24	0.2099155095
25	0.2020412893
26	0.1949734888
27	0.1883404088
28	0.1828310076
29	0.1775587119
30	0.1720764157
31	0.1655702085
32	0.1607295676
33	0.1554993004
34	0.1503893282
35	0.1466932462
36	0.1430806853
37	0.1394198179
38	0.1353758445
39	0.1315240126
40	0.1282980313
41	0.1253148529
42	0.1223229476
43	0.1196303933
44	0.1171772417
45	0.1155125255
46	0.1131542625
47	0.1117632789
48	0.1092804874
49	0.1067389086
50	0.1049859748
51	0.1029439466
52	0.101104999
53	0.0994402276
54	0.09752392288
55	0.09565916144
56	0.09404383478
57	0.09278165108
58	0.0913724567
59	0.08945352856
60	0.08756787333
61	0.08668687133
62	0.08543318941
63	0.08441703049
64	0.08337992846
65	0.08151998099
66	0.08108610783
67	0.07973165361
68	0.07866519784
69	0.07715185773
70	0.07614338088
71	0.07485784695
72	0.07362381361
73	0.07242128247
74	0.07116756278
75	0.0703651992
76	0.06968455093
77	0.06876022408
78	0.06785321373
79	0.0668447714
80	0.06599826685
81	0.06504026941
82	0.06402942969
83	0.06310461819
84	0.06245869735
85	0.06148894719
86	0.0608106107
87	0.05962805661
88	0.05901466084
89	0.0581270547
