iter	Passed	Remaining
0	2	243
1	3	152
2	4	120
3	5	117
4	6	108
5	7	107
6	8	100
7	11	116
8	12	113
9	13	107
10	14	105
11	15	101
12	16	97
13	17	94
14	20	102
15	21	100
16	23	99
17	24	97
18	25	94
19	26	92
20	27	90
21	28	87
22	28	84
23	29	80
24	30	78
25	31	76
26	31	73
27	32	72
28	33	69
29	34	69
30	35	67
31	36	66
32	37	64
33	38	63
34	39	61
35	40	60
36	40	58
37	41	56
38	42	55
39	42	53
40	43	51
41	43	50
42	44	48
43	44	47
44	45	45
45	46	44
46	47	43
47	47	41
48	48	40
49	48	38
50	49	37
51	49	36
52	50	35
53	50	33
54	51	32
55	52	31
56	52	30
57	53	29
58	54	28
59	54	27
60	55	26
61	56	25
62	57	24
63	58	23
64	59	22
65	59	21
66	60	20
67	61	20
68	62	19
69	63	18
70	63	17
71	64	16
72	65	15
73	66	14
74	67	13
75	67	12
76	68	11
77	69	10
78	70	9
79	71	8
80	71	7
81	73	7
82	73	6
83	74	5
84	75	4
85	76	3
86	77	2
87	78	1
88	79	0
89	79	0
